matchday,home_team,away_team
24,andrezieux,toulon
24,cannes,fc93
24,istres,frejus
24,limonest,gfa
24,rousset,nimes
24,hyeres,grasse
24,lusitanos,creteil
24,saint-priest,goal
25,creteil,hyeres
25,fc93,andrezieux
25,gfa,saint-priest
25,goal,rousset
25,nimes,lusitanos
25,grasse,cannes
25,toulon,istres
25,frejus,limonest
26,cannes,creteil
26,istres,fc93
26,andrezieux,grasse
26,limonest,toulon
26,gfa,frejus
26,hyeres,nimes
26,lusitanos,goal
26,saint-priest,rousset
27,goal,hyeres
27,creteil,andrezieux
27,frejus,saint-priest
27,fc93,limonest
27,rousset,lusitanos
27,nimes,cannes
27,grasse,istres
27,toulon,gfa
28,istres,creteil
28,cannes,goal
28,andrezieux,nimes
28,frejus,toulon
28,limonest,grasse
28,gfa,fc93
28,hyeres,rousset
28,saint-priest,lusitanos
29,creteil,limonest
29,fc93,frejus
29,rousset,cannes
29,goal,andrezieux
29,nimes,istres
29,grasse,gfa
29,lusitanos,hyeres
29,saint-priest,toulon
30,cannes,lusitanos
30,andrezieux,rousset
30,frejus,grasse
30,limonest,nimes
30,gfa,creteil
30,hyeres,saint-priest
30,istres,goal
30,toulon,fc93
